Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
10/21/15,Place in Manhattan,2015-10-21T04:27:07-04:00,2015-10-21T07:13:39-04:00,9992,40.7856121081,-73.9720724825,,
10/21/15,Place in Manhattan,2015-10-21T07:18:45-04:00,2015-10-21T08:06:15-04:00,2850,40.7869139082,-73.9733281397,,
10/21/15,Place in Penn Station South,2015-10-21T08:13:27-04:00,2015-10-21T12:56:42-04:00,16995,40.7408375251,-74.0021916154,,
10/21/15,Place in Hell's Kitchen,2015-10-21T13:05:39-04:00,2015-10-21T13:57:30-04:00,3111,40.751915205,-73.9877943628,,
10/21/15,Place in Penn Station South,2015-10-21T14:18:13-04:00,2015-10-21T15:00:29-04:00,2536,40.741155108,-74.0049633069,,
10/21/15,Place in Penn Station South,2015-10-21T15:08:22-04:00,2015-10-21T18:55:48-04:00,13646,40.7411268971,-74.001893874,,
10/21/15,Place in Manhattan,2015-10-21T18:59:26-04:00,2015-10-21T22:02:11-04:00,10965,40.7869139082,-73.9733281397,,
10/21/15,Place in Manhattan,2015-10-21T22:06:47-04:00,2015-10-21T22:38:35-04:00,1908,40.7856083693,-73.9725035257,,
10/21/15,Place in Park West Village,2015-10-21T22:46:08-04:00,2015-10-21T22:50:22-04:00,254,40.7881242103,-73.9711057044,,
10/21/15,Place in Manhattan,2015-10-21T22:57:13-04:00,2015-10-22T00:00:00-04:00,3767,40.7856121081,-73.9720724825,,
